nohup: ignoring input
UTKFace: labeled=3793, unlabeled=15176, val=2370, test=2370
label scaler: mean=33.19, std=19.70
Probe trained: MAE=0.314 (normalized), 0.3 years on labeled set
ep 1: val_mae=6.430, r2=0.7877
ep 2: val_mae=6.056, r2=0.8084
ep 3: val_mae=5.991, r2=0.8065
ep 4: val_mae=5.605, r2=0.8380
ep 5: val_mae=6.231, r2=0.8133
ep 6: val_mae=5.519, r2=0.8412
ep 7: val_mae=5.276, r2=0.8531
ep 8: val_mae=5.279, r2=0.8531
ep 9: val_mae=5.222, r2=0.8570
ep 10: val_mae=5.501, r2=0.8471
ep 11: val_mae=5.299, r2=0.8511
ep 12: val_mae=5.416, r2=0.8459
ep 13: val_mae=5.175, r2=0.8567
ep 14: val_mae=5.150, r2=0.8593
ep 15: val_mae=5.226, r2=0.8538
ep 16: val_mae=5.415, r2=0.8488
ep 17: val_mae=5.136, r2=0.8610
ep 18: val_mae=5.302, r2=0.8546
ep 19: val_mae=5.045, r2=0.8642
ep 20: val_mae=5.054, r2=0.8625
ep 21: val_mae=5.250, r2=0.8525
ep 22: val_mae=5.074, r2=0.8603
ep 23: val_mae=5.153, r2=0.8609
ep 24: val_mae=5.115, r2=0.8596
ep 25: val_mae=5.096, r2=0.8603
ep 26: val_mae=5.197, r2=0.8526
ep 27: val_mae=5.082, r2=0.8598
ep 28: val_mae=4.994, r2=0.8636
ep 29: val_mae=5.197, r2=0.8543
ep 30: val_mae=5.015, r2=0.8607
TEST probe: mae=5.349, r2=0.8482
