nohup: ignoring input
IMDB-WIKI: labeled=17080, unlabeled=153729, val=21351, test=21351
label scaler: mean=37.33, std=13.84
ep 1: val_mae=6.670, r2=0.5594
ep 2: val_mae=6.982, r2=0.5205
ep 3: val_mae=6.890, r2=0.5148
ep 4: val_mae=6.679, r2=0.5455
ep 5: val_mae=6.383, r2=0.5803
ep 6: val_mae=6.625, r2=0.5538
ep 7: val_mae=6.334, r2=0.5881
ep 8: val_mae=6.284, r2=0.5934
ep 9: val_mae=6.476, r2=0.5714
ep 10: val_mae=6.419, r2=0.5809
ep 11: val_mae=6.254, r2=0.5914
ep 12: val_mae=6.256, r2=0.5985
ep 13: val_mae=6.232, r2=0.5958
ep 14: val_mae=6.256, r2=0.5954
ep 15: val_mae=6.252, r2=0.5898
ep 16: val_mae=6.222, r2=0.5992
ep 17: val_mae=6.214, r2=0.5984
ep 18: val_mae=6.198, r2=0.5967
ep 19: val_mae=6.181, r2=0.6007
ep 20: val_mae=6.236, r2=0.5916
ep 21: val_mae=6.233, r2=0.5968
ep 22: val_mae=6.242, r2=0.5896
ep 23: val_mae=6.240, r2=0.5888
ep 24: val_mae=6.269, r2=0.5828
ep 25: val_mae=6.698, r2=0.4547
ep 26: val_mae=6.536, r2=0.5050
ep 27: val_mae=6.419, r2=0.5482
ep 28: val_mae=6.494, r2=0.5011
ep 29: val_mae=8.853, r2=-0.6755
ep 30: val_mae=6.672, r2=0.4625
TEST hpl: mae=6.716, r2=0.4446
