nohup: ignoring input
UTKFace: labeled=1896, unlabeled=17073, val=2370, test=2370
label scaler: mean=33.60, std=19.79
ep 1: val_mae=6.843, r2=0.7620
ep 2: val_mae=5.995, r2=0.8144
ep 3: val_mae=5.943, r2=0.8260
ep 4: val_mae=6.369, r2=0.7895
ep 5: val_mae=5.581, r2=0.8382
ep 6: val_mae=5.784, r2=0.8278
ep 7: val_mae=5.708, r2=0.8305
ep 8: val_mae=5.522, r2=0.8393
ep 9: val_mae=5.755, r2=0.8340
ep 10: val_mae=5.809, r2=0.8276
ep 11: val_mae=5.951, r2=0.7936
ep 12: val_mae=5.491, r2=0.8365
ep 13: val_mae=5.463, r2=0.8452
ep 14: val_mae=5.594, r2=0.8344
ep 15: val_mae=5.635, r2=0.8350
ep 16: val_mae=5.597, r2=0.8357
ep 17: val_mae=5.489, r2=0.8362
ep 18: val_mae=5.513, r2=0.8340
ep 19: val_mae=5.565, r2=0.8328
ep 20: val_mae=5.776, r2=0.8219
ep 21: val_mae=5.509, r2=0.8399
ep 22: val_mae=5.580, r2=0.8375
ep 23: val_mae=5.494, r2=0.8364
ep 24: val_mae=5.726, r2=0.8312
ep 25: val_mae=5.428, r2=0.8397
ep 26: val_mae=5.386, r2=0.8417
ep 27: val_mae=5.646, r2=0.8274
ep 28: val_mae=5.710, r2=0.8315
ep 29: val_mae=5.517, r2=0.8288
ep 30: val_mae=5.550, r2=0.8307
TEST hpl: mae=5.986, r2=0.8134
