nohup: ignoring input
UTKFace: labeled=948, unlabeled=18021, val=2370, test=2370
label scaler: mean=33.99, std=19.73
ep 1: val_mae=6.970, r2=0.7590
ep 2: val_mae=6.954, r2=0.7705
ep 3: val_mae=6.516, r2=0.7924
ep 4: val_mae=6.387, r2=0.8046
ep 5: val_mae=5.938, r2=0.8247
ep 6: val_mae=5.774, r2=0.8272
ep 7: val_mae=5.801, r2=0.8302
ep 8: val_mae=5.713, r2=0.8284
ep 9: val_mae=5.697, r2=0.8311
ep 10: val_mae=6.353, r2=0.8012
ep 11: val_mae=5.849, r2=0.8124
ep 12: val_mae=6.323, r2=0.7983
ep 13: val_mae=7.542, r2=0.7027
ep 14: val_mae=5.662, r2=0.8237
ep 15: val_mae=5.706, r2=0.8182
ep 16: val_mae=6.226, r2=0.7899
ep 17: val_mae=6.173, r2=0.7877
ep 18: val_mae=6.170, r2=0.7881
ep 19: val_mae=6.157, r2=0.8066
ep 20: val_mae=5.832, r2=0.8126
ep 21: val_mae=6.021, r2=0.8106
ep 22: val_mae=6.141, r2=0.7957
ep 23: val_mae=5.901, r2=0.8078
ep 24: val_mae=5.904, r2=0.8101
ep 25: val_mae=7.004, r2=0.7555
ep 26: val_mae=6.027, r2=0.8073
ep 27: val_mae=5.933, r2=0.8104
ep 28: val_mae=6.064, r2=0.7983
ep 29: val_mae=5.870, r2=0.8097
ep 30: val_mae=6.035, r2=0.8012
TEST hpl: mae=6.470, r2=0.7870
