nohup: ignoring input
IMDB-WIKI: labeled=34161, unlabeled=136648, val=21351, test=21351
label scaler: mean=37.35, std=13.84
ep 1: val_mae=6.610, r2=0.5673
ep 2: val_mae=6.334, r2=0.5976
ep 3: val_mae=6.284, r2=0.6026
ep 4: val_mae=6.314, r2=0.5911
ep 5: val_mae=6.395, r2=0.5835
ep 6: val_mae=6.323, r2=0.5870
ep 7: val_mae=6.239, r2=0.5988
ep 8: val_mae=6.409, r2=0.5796
ep 9: val_mae=6.294, r2=0.5880
ep 10: val_mae=6.252, r2=0.5900
ep 11: val_mae=6.133, r2=0.6090
ep 12: val_mae=6.487, r2=0.5723
ep 13: val_mae=6.287, r2=0.5936
ep 14: val_mae=6.143, r2=0.6076
ep 15: val_mae=6.154, r2=0.6032
ep 16: val_mae=6.110, r2=0.6055
ep 17: val_mae=6.199, r2=0.5974
ep 18: val_mae=6.159, r2=0.6026
ep 19: val_mae=6.101, r2=0.6094
ep 20: val_mae=6.217, r2=0.6021
ep 21: val_mae=6.033, r2=0.6150
ep 22: val_mae=6.026, r2=0.6157
ep 23: val_mae=6.095, r2=0.6078
ep 24: val_mae=6.028, r2=0.6084
ep 25: val_mae=6.011, r2=0.6186
ep 26: val_mae=6.015, r2=0.6102
ep 27: val_mae=5.991, r2=0.6141
ep 28: val_mae=5.986, r2=0.6166
ep 29: val_mae=5.942, r2=0.6209
ep 30: val_mae=5.994, r2=0.6129
TEST hpl: mae=6.025, r2=0.6166
