nohup: ignoring input
IMDB-WIKI: labeled=34161, unlabeled=136648, val=21351, test=21351
label scaler: mean=37.35, std=13.84
Probe trained: MAE=0.641 (normalized), 0.6 years on labeled set
ep 1: val_mae=6.431, r2=0.5924
ep 2: val_mae=6.172, r2=0.6153
ep 3: val_mae=6.241, r2=0.6019
ep 4: val_mae=6.081, r2=0.6157
ep 5: val_mae=6.368, r2=0.5848
ep 6: val_mae=6.139, r2=0.6021
ep 7: val_mae=6.093, r2=0.6076
ep 8: val_mae=5.972, r2=0.6172
ep 9: val_mae=6.044, r2=0.6120
ep 10: val_mae=5.967, r2=0.6221
ep 11: val_mae=5.927, r2=0.6225
ep 12: val_mae=5.878, r2=0.6317
ep 13: val_mae=5.933, r2=0.6247
ep 14: val_mae=5.903, r2=0.6230
ep 15: val_mae=5.904, r2=0.6267
ep 16: val_mae=5.880, r2=0.6296
ep 17: val_mae=5.865, r2=0.6298
ep 18: val_mae=5.962, r2=0.6161
ep 19: val_mae=5.812, r2=0.6342
ep 20: val_mae=5.898, r2=0.6296
ep 21: val_mae=5.885, r2=0.6294
ep 22: val_mae=5.817, r2=0.6276
ep 23: val_mae=5.858, r2=0.6246
ep 24: val_mae=5.775, r2=0.6377
ep 25: val_mae=5.850, r2=0.6296
ep 26: val_mae=5.749, r2=0.6388
ep 27: val_mae=5.792, r2=0.6328
ep 28: val_mae=5.793, r2=0.6329
ep 29: val_mae=5.809, r2=0.6331
ep 30: val_mae=5.814, r2=0.6336
TEST probe: mae=5.812, r2=0.6396
